Action Type	Group	Raw Devices Name	Raw Devices Size	User
Add	ris	/dev/rrisaic_sp1lg5	4096	risadm
Add	ris	/dev/rrisaic_sp1lg6	4096	risadm
Add	ris	/dev/rrisaic_sp1lg7	4096	risadm
Add	ris	/dev/rrisaic_sp1lg8	4096	risadm
Add	ris	/dev/rrisaic_sp1lg9	4096	risadm
Add	ris	/dev/rrisaic_sp1lg10	4096	risadm
Add	ris	/dev/rrisaic_sp1lg11	4096	risadm
Add	ris	/dev/rrisaic_sp1lg12	4096	risadm
Add	ris	/dev/rrisaic_sp1lg13	4096	risadm
Add	ris	/dev/rrisaic_sp1ms1	512	risadm
Add	ris	/dev/rrisaic_sp1sd1	512	risadm
Add	ris	/dev/rrisaic_sp1sp1	1024	risadm
Add	ris	/dev/rrisaic_sp1tm1	10240	risadm
Add	ris	/dev/rrisaic_sp1tm2	128	risadm
Add	ris	/dev/rrisaic_sp1dc1	4096	risadm
Add	ris	/dev/rrisaic_sp1dl1	1024	risadm
Add	ris	/dev/rrisaic_sp1au1	2048	risadm
Add	ris	/dev/rrisaic_sp1au2	2048	risadm
Add	ris	/dev/rrisaic_sp1al1	1024	risadm
